Id Num	Measure Names	Month of Date	Avg. %GoodReadings	Avg. Depth Range
42370	Avg. Depth Range	November		524.9093445
42370	Avg. Depth Range	December		526.5262214
42374	Avg. Depth Range	January		340.5306931
42374	Avg. Depth Range	February		346.5705706
42374	Avg. Depth Range	March		348.6262443
42374	Avg. Depth Range	April		341.2606778
42374	Avg. Depth Range	May		344.8141113
42374	Avg. Depth Range	June		342.0009341
42374	Avg. Depth Range	July		331.6536007
42374	Avg. Depth Range	August		344.3753666
42374	Avg. Depth Range	October		341.3700516
42374	Avg. Depth Range	November		329.3320507
42374	Avg. Depth Range	December		346.7389341
42390	Avg. Depth Range	January		687.3228526
42390	Avg. Depth Range	February		694.3712575
42390	Avg. Depth Range	March		717.3342324
42390	Avg. Depth Range	April		749.9802567
42390	Avg. Depth Range	May		741.5363881
42390	Avg. Depth Range	June		769.8364844
42390	Avg. Depth Range	July		752.4868735
42394	Avg. Depth Range	January		815.7215819
42394	Avg. Depth Range	February		814.7449638
42394	Avg. Depth Range	March		815.5961429
42394	Avg. Depth Range	April		816
42394	Avg. Depth Range	May		815.9131222
42394	Avg. Depth Range	June		815.921293
42394	Avg. Depth Range	July		815.8374259
42396	Avg. Depth Range	April		863.1673566
42396	Avg. Depth Range	May		864
42396	Avg. Depth Range	June		863.9852262
42396	Avg. Depth Range	July		863.6633267
42396	Avg. Depth Range	August		859.0531401
42396	Avg. Depth Range	October		853.3098126
42396	Avg. Depth Range	November		863
42396	Avg. Depth Range	December		863.6865539
42874	Avg. Depth Range	January		424.7198874
42874	Avg. Depth Range	August		652.303824
42874	Avg. Depth Range	September		635.6927083
42874	Avg. Depth Range	October		1022.747826
42876	Avg. Depth Range	January		427.0143463
42876	Avg. Depth Range	February		538.7003871
42876	Avg. Depth Range	March		483.1686795
42876	Avg. Depth Range	April		531.9372594
42876	Avg. Depth Range	May		560.9299002
42876	Avg. Depth Range	June		543.1551995
42880	Avg. Depth Range	January		456.5143497
42880	Avg. Depth Range	February		425.756651
42880	Avg. Depth Range	March		445.3944686
42880	Avg. Depth Range	April		483.7744111
42880	Avg. Depth Range	May		485.6943883
42880	Avg. Depth Range	June		508.348208
42880	Avg. Depth Range	July		525.3633584
42880	Avg. Depth Range	August		485.6488789
42880	Avg. Depth Range	September		486.9021167
42887	Avg. Depth Range	January		882.3902997
42887	Avg. Depth Range	February		862.9788945
42887	Avg. Depth Range	March		881.2592425
42887	Avg. Depth Range	April		874.8899744
42887	Avg. Depth Range	May		899.3331834
42887	Avg. Depth Range	June		916.8612544
42887	Avg. Depth Range	July		877.2451047
42887	Avg. Depth Range	August		904.9089827
42887	Avg. Depth Range	September		897.2882818
42887	Avg. Depth Range	October		860.2027475
42887	Avg. Depth Range	November		868.6685134
42901	Avg. Depth Range	January		488.9922043
42901	Avg. Depth Range	February		379.9684435
42901	Avg. Depth Range	March		200.4587234
42901	Avg. Depth Range	April		150.4344064
42901	Avg. Depth Range	May		246.553211
42901	Avg. Depth Range	June		605.9984848
42901	Avg. Depth Range	July		195.6997558
42901	Avg. Depth Range	August		66.70703043
42901	Avg. Depth Range	September		113.306662
42901	Avg. Depth Range	October		89.76819338
42901	Avg. Depth Range	November		37.70079208
42901	Avg. Depth Range	December		38.40383747
42912	Avg. Depth Range	January		530.9022509
42912	Avg. Depth Range	February		527.3971014
42912	Avg. Depth Range	March		592.5276479
42912	Avg. Depth Range	April		555.1269065
42912	Avg. Depth Range	May		587.6207479
42912	Avg. Depth Range	June		577.214255
42912	Avg. Depth Range	July		630.0165371
42912	Avg. Depth Range	August		631.9952471
42912	Avg. Depth Range	September		527.2501723
42912	Avg. Depth Range	October		614.4
42927	Avg. Depth Range	January		804.872709
42927	Avg. Depth Range	February		858.611294
42927	Avg. Depth Range	March		790.2347418
42931	Avg. Depth Range	January		522.063113
42931	Avg. Depth Range	March		480
42931	Avg. Depth Range	July		881.2018779
42931	Avg. Depth Range	August		876.1646489
42931	Avg. Depth Range	November		47.34217391
42931	Avg. Depth Range	December		58.62070006
42934	Avg. Depth Range	January		454.794538
42934	Avg. Depth Range	February		387.7279305
42934	Avg. Depth Range	March		464.8980822
42934	Avg. Depth Range	April		494.4825552
42934	Avg. Depth Range	May		482.4447879
42934	Avg. Depth Range	June		443.0202189
